Lemma,Language Code,Lexical Category,Definition
အဂၞဲ,mnw,noun,(n) [Skt. agneya] southeast. [id.] ဒိုဟ်ဂၞဲ။ [Syn.] အနဲ
အဂၠဴ,mnw,noun,"(n) aloeswood tree, eaglewood tree, algallochum, Aquilaria agallocha Roxburgh. {Bru. Aguilaria agallocha}, ffragrant heartwood of the eaglewood."
အဃိုတ်,mnw,noun,"(n) blunt fellow or person, {bird} quail."
အဃော,mnw,noun,"(n) contemporaneous time, time, while, time of an event, continuing present time, duration."
အဃော,mnw,adverb,ဒးအဃော (adv) at the right time.
အဃော,mnw,noun,ဒှ်အဃောတိုန်ဇြပ် (n) at the appropriate time he went up to the wayside public rest house.
အဃော,mnw,noun,"ဗှ်ေအဃောဗ္တောန်ပညာဟာ (n) are you still studying?  (adv) while {during the time of}, during. [Cf.] အခါ၊ ဃော၊ လ၊ လံ။"
အဃောဂှ်,mnw,adverb,(adv) during that time.
အဃောဂှ်,mnw,noun,အဃောတေံဂှ် မာန်ဂၠိုၚ်ရ (n) at that time you used often to win.
အဃောသ,mnw,noun,"(n) [P.] {of speech sound} unvoiced, voiceless."
အၚ္ၚာံ,mnw,noun,"(conj.) because of, on account of.(prep.) for, for the sake of.(n) account, sake, behalf, share, portion. [id.] အ္ၚာံ။"
အၚ်,mnw,noun,"1 (n) a kind of tree, which belong to a species of Dipterocarpus, board-leaved tall tree yielding reddish, resinous wood. Dipterocarpus tuberculatus.   တၞံအၚ် (n) generic name for various species of Dipterocarpus.   အၚ်ဒိုၚ် (n) species of Dipterocarpus yielding oil.   အၚ်ရေၚ် (n) lard shorea, D. Griffithii Miqu. and shinneri King. tall, indigenous hardwood tree bearing sprays fragrant, red flowers in early summer, Pentacme suavis."
အၚ်,mnw,noun,"2 (n) pond, lake.   အၚ်လှာ (n) chain of small ponds. place-name,   အၚ်စိၚ် (n) Eang coing. [Bur. Insein]. [Cf.] ကၟာ၊ လှာ။"
အၚ်,mnw,noun,"3 (n) table, tabulation, [esp.] in almanacs.   အၚ်ယန် (n) magic square, used as protective charm.   ဖျေံအၚ်ယန် (v) to draw up a magic square. [Cf.] စရၚ် (n) [P. anka] sign, brand."
